reaction_id,x_idx,y_idx,xy_idx_x,xy_idx_y
[O]_m3.C#C_m1>>[CH]C=O_m3,0,1,3,2
[H]_m2.C#C[O]_m2>>[CH]C=O_m3,0,1,4,2
[CH2]_m3.[O][O]_m3>>[CH2]O[O]_m3,0,1,0,3
[H]_m2.[O][O]_m3>>[O]O_m2,0,1,2,1
[H]_m2.C#C_m1>>[CH]=C_m2,0,1,3,2
[O]_m3.C=O_m1>>[CH2]O[O]_m3,0,1,4,3
[O]_m3.C=CC_m1>>C[CH]C[O]_m3,0,0,4,3
[H]_m2.C=CC_m1>>[CH2]CC_m2,0,1,5,3
[CH]=C_m2.[O][O]_m3>>C=CO[O]_m2,0,1,1,2
[H]_m2.C=CO_m1>>[CH2]CO_m2,0,1,5,3
[O]_m3.C=O_m1>>[O]C[O]_m3,0,0,0,1
[H]_m2.C=C_m1>>C[CH2]_m2,0,1,4,0
[OH]_m2.C=CO_m1>>O[CH]CO_m2,0,0,4,3
[CH3]_m2.C=C_m1>>[CH2]CC_m2,0,1,4,3
[H]_m2.C=O_m1>>C[O]_m2,0,0,2,0
[OH]_m2.C=C_m1>>[CH2]CO_m2,0,1,4,3
[OH]_m2.C=CC_m1>>C[CH]CO_m2,0,0,4,3
[H]_m2.C=C[C]=O_m2>>[CH2]C[C]=O_m3,0,1,6,3
[H]_m2.C=CCO_m1>>C[CH]CO_m2,0,0,5,0
[H]_m2.C=C=O_m1>>C=C[O]_m2,0,1,5,1
[H]_m2.C=O_m1>>[CH2]O_m2,0,1,4,3
[H]_m2.CC=CO_m1>>C[CH]CO_m2,0,2,8,3
[H]_m2.[O]C=O_m2>>[O]C[O]_m3,0,1,3,1
[H]_m2.C=CC_m1>>C[CH]C_m2,0,0,4,0
[H]_m2.C=C=O_m1>>C[C]=O_m2,0,0,3,0
C=C[C]=O_m2.[O][O]_m3>>C=CC(=O)O[O]_m2,2,1,2,4
[CH2]_m3.C=C_m1>>[CH2]C[CH2]_m3,0,1,0,3
[CH2]CCOO_m2.[O][O]_m3>>[O]OCCCOO_m2,0,1,2,1
C[CH2]_m2.[O][O]_m3>>CCO[O]_m2,1,1,1,2
C[CH]CO_m2.[O][O]_m3>>CC(CO)O[O]_m2,1,1,1,4
[CH]=O_m2.[O][O]_m3>>[O]OC=O_m2,0,1,2,1
[H]_m2.[O]OC=O_m2>>[O]CO[O]_m3,0,2,4,1
[CH3]_m2.C=O_m1>>CC[O]_m2,0,0,0,1
[H]_m2.CC=O_m1>>CC[O]_m2,0,1,6,1
[CH2]CO_m2.[O][O]_m3>>[O]OCCO_m2,0,1,2,1
[H]_m2.O=CCO_m1>>O[CH]CO_m2,0,0,5,0
[H]_m2.[CH2][O]_m3>>[CH2]O_m2,0,3,4,3
[H]_m2.[CH2][O]_m3>>C[O]_m2,0,0,2,0
[CH3]_m2.[O][O]_m3>>CO[O]_m2,0,1,0,1
[CH2]CC_m2.[O][O]_m3>>CCCO[O]_m2,0,1,2,3
[CH3]_m2.C=C=O_m1>>CC[C]=O_m2,0,0,0,1
C[CH]C_m2.[O][O]_m3>>CC(C)O[O]_m2,1,1,1,3
[H]_m2.O=CC=O_m1>>[O]C=CO_m2,0,0,6,3
[H]_m2.C=CC=O_m1>>C=C[CH]O_m2,0,3,8,4
[H]_m2.O=CCO_m1>>[O]CCO_m2,0,1,4,1
[CH2]_m3.C=C=O_m1>>[CH2]C[C]=O_m3,0,0,0,3
[H]_m2.O=C=O_m1>>[O]C=O_m2,0,1,3,1
[CH2]O_m2.C=O_m1>>[O]CCO_m2,0,0,2,1
[CH]=O_m2.C=C=O_m1>>O=[C]CC=O_m2,0,0,3,2
[H]_m2.C=CO[O]_m2>>[CH2]CO[O]_m3,0,1,6,3
[H]_m2.O=C=O_m1>>O=[C]O_m2,0,0,3,2
[CH3]_m2.[CH2][O]_m3>>CC[O]_m2,0,0,0,1
[O]_m3.[CH2][O]_m3>>[CH2]O[O]_m3,0,3,4,3
[O]_m3.[CH2][O]_m3>>[O]C[O]_m3,0,0,0,1
C=C[O]_m2.[O][O]_m3>>[O]OCC=O_m2,0,1,2,1
[CH2]O_m2.[CH2][O]_m3>>[O]CCO_m2,0,0,2,1
[CH2]CO[O]_m3.C=O_m1>>[O]CCCO[O]_m3,0,0,2,1
[CH]=C_m2.O=C=O_m1>>C=CC([O])=O_m2,0,1,1,2
[O]O_m2.O=C=O_m1>>[O]C(=O)OO_m2,0,1,3,1
C=C[CH]O_m2.[O][O]_m3>>C=CC(O)O[O]_m2,2,1,2,4
[O]C=CO_m2.[O][O]_m3>>[O]OC(O)C=O_m2,2,1,2,1
[O]_m3.O=C=O_m1>>[O]C([O])=O_m3,0,1,2,1
[CH2]CO[O]_m3.[CH2][O]_m3>>[O]CCCO[O]_m3,0,0,2,1
C=C[CH]O_m2.[O][O]_m3>>[O]OCC=CO_m2,0,1,2,1
C=C[C]=O_m2.[O][O]_m3>>[O]OCC=C=O_m2,0,1,2,1
[OH]_m2.O=C=O_m1>>[O]C(=O)O_m2,0,1,3,1
[CH3]_m2.CCC=O_m1>>CC[CH]OC_m2,0,3,5,4
C=C[O]_m2.C=C=O_m1>>[CH2]C(=O)CC=O_m2,0,1,5,3
C=C[O]_m2.O=CC=O_m1>>O=C[CH]OCC=O_m2,0,0,5,4
C=C[O]_m2.C=O_m1>>[O]CCC=O_m2,0,0,2,1
C=C[O]_m2.C=O_m1>>[CH2]OCC=O_m2,0,1,4,3
C=C[CH]O_m2.C=O_m1>>[O]CCC=CO_m2,0,0,2,1
C=C[CH]O_m2.C=O_m1>>C=CC(O)C[O]_m2,2,0,2,4
C=C[O]_m2.O=CC=O_m1>>[O]C(C=O)CC=O_m2,0,1,4,1
[O]C=CO_m2.C=O_m1>>[O]CC(O)C=O_m2,2,0,2,1
C=C[O]_m2.O=C=O_m1>>[O]C(=O)CC=O_m2,0,1,3,1
C=C[C]=O_m2.C=O_m1>>[O]CCC=C=O_m2,0,0,2,1
C=C[O]_m2.CC=O_m1>>CC([O])CC=O_m2,0,1,3,1
C=C[O]_m2.CC=O_m1>>C[CH]OCC=O_m2,0,2,4,3
C=C[O]_m2.O=C=O_m1>>O=[C]OCC=O_m2,0,0,3,2
C=C[O]_m2.O=CCO_m1>>[O]C(CO)CC=O_m2,0,1,4,1
C=C[O]_m2.O=CCO_m1>>O=CCO[CH]CO_m2,0,0,2,3
C=C[O]_m2.C=C=O_m1>>C=[C]OCC=O_m2,0,2,3,2
C=C[O]_m2.C=C[O]_m2>>[CH2]C([O])CC=O_m3,0,1,5,3
[O]C=CO_m2.O=CC=O_m1>>[O]C(C=O)C(O)C=O_m2,2,1,4,1
[O]C=CO_m2.CC=O_m1>>CC([O])C(O)C=O_m2,2,1,3,1
[O]C=CO_m2.O=CCO_m1>>[O]C(CO)C(O)C=O_m2,2,1,4,1
